ID,Club,POS,GP,GS,A,GWA,HmA,RdA,A/90min,Timestamp
Rafael Amaya,SJ,D,7,0,0,0,0,0,0,1996
Sterling Wescott,DC,M,2,1,0,0,0,0,0,1996
Jimmy Glenn,DAL,F,9,0,0,0,0,0,0,1996
Josh McKay,COL,M,4,1,0,0,0,0,0,1996
Thor Lee,DC,D,2,2,0,0,0,0,0,1996
George Gelnovatch,DC,M,2,2,0,0,0,0,0,1996
Said Fazlagic,DC,D,2,1,0,0,0,0,0,1996
Paul Young,CLB,F,4,1,0,0,0,0,0,1996
Mac Cozier,CLB,F,13,0,0,0,0,0,0,1996
Juan Suarez,DC,F,2,2,0,0,0,0,0,1996
Ante Razov,LA,F,3,1,0,0,0,0,0,1996
Paul Holocher,SJ,M,4,2,0,0,0,0,0,1996
Mike Huwiler,DC,M,5,3,0,0,0,0,0,1996
Tayt Ianni,SJ,D,6,3,0,0,0,0,0,1996
Troy Edwards,COL,D,4,3,0,0,0,0,0,1996
Jorge Flores,DAL,M,8,3,0,0,0,0,0,1996
Brandon Ward,CLB,M,6,3,0,0,0,0,0,1996
Dante Washington,CLB,F,9,2,0,0,0,0,0,1996
Chris Brauchle,MET,M,5,3,0,0,0,0,0,1996
Alan Prampin,KC,F,15,2,0,0,0,0,0,1996
Andrew Restrepo,MET,D,5,4,0,0,0,0,0,1996
Altimont Butler,SJ,M,14,4,0,0,0,0,0,1996
Nelson Vargas,TB,M,9,4,0,0,0,0,0,1996
Tom Lips,NE,D,8,5,0,0,0,0,0,1996
John Garvey,LA,F,13,3,0,0,0,0,0,1996
Mickey Kydes,MET,M,11,7,0,0,0,0,0,1996
John Diffley,TB,D,13,6,0,0,0,0,0,1996
Tommy Reasoner,KC,D,13,7,0,0,0,0,0,1996
Diego Viera,TB,F,17,6,0,0,0,0,0,1996
Sean Henderson,COL,M,9,9,0,0,0,0,0,1996
Richard Weiszmann,NE,D,10,9,0,0,0,0,0,1996
Ted Gillen,MET,D,15,9,0,0,0,0,0,1996
Brandon Pollard,DAL,D,10,9,0,0,0,0,0,1996
Shane Battelle,CLB,M,15,10,0,0,0,0,0,1996
Brian Bates,COL,M,19,7,0,0,0,0,0,1996
Brad Wilson,LA,D,22,14,0,0,0,0,0,1996
Dominic Kinnear,COL,M,14,11,0,0,0,0,0,1996
Chad Ashton,DAL,M,23,10,0,0,0,0,0,1996
Ted Chronopoulos,NE,D,14,11,0,0,0,0,0,1996
Cristian da Silva,MET,D,20,12,0,0,0,0,0,1996
Ed Puskarich,DAL,D,18,14,0,0,0,0,0,1996
Erik Imler,DC,M,19,15,0,0,0,0,0,1996
Derek Backman,TB,M,25,14,0,0,0,0,0,1996
Ian Butterworth,COL,D,17,17,0,0,0,0,0,1996
Oscar Draguicevich,SJ,D,19,17,0,0,0,0,0,1996
Mark Watson,CLB,D,18,18,0,0,0,0,0,1996
Brian Bliss,CLB,D,19,19,0,0,0,0,0,1996
Jeff Zaun,MET,D,21,19,0,0,0,0,0,1996
Matt Knowles,MET,D,21,16,0,0,0,0,0,1996
Zak Ibsen,DAL,M,22,18,0,0,0,0,0,1996
Clint Peay,DC,D,19,18,0,0,0,0,0,1996
Francis Okaroh,NE,D,20,20,0,0,0,0,0,1996
Nicola Caricola,MET,D,26,26,0,0,0,0,0,1996
Robin Fraser,LA,D,27,27,0,0,0,0,0,1996
Janusz Michallik,CLB,M,31,28,0,0,0,0,0,1996
Frank Yallop,TB,D,29,28,0,0,0,0,0,1996
Uche Okafor,KC,D,30,30,0,0,0,0,0,1996
Richard Farrer,DAL,D,31,31,0,0,0,0,0,1996
Matt Kmosko,COL,D,31,31,0,0,0,0,0,1996
Tim Martin,SJ,D,32,32,0,0,0,0,0,1996
Carlos Valderrama,TB,M,20,20,19,6,13,6,0.98,1997
Preki,KC,M,27,27,17,4,15,2,0.66,1997
Eddie Lewis,SJ,M,29,26,14,3,9,5,0.56,1997
Chris Henderson,COL,M,30,29,13,2,8,5,0.47,1997
Mauricio Cienfuegos,LA,M,22,22,12,7,9,3,0.55,1997
Eric Wynalda,SJ,F,14,9,11,2,7,4,1.07,1997
Marco Etcheverry,DC,M,20,19,11,2,7,4,0.58,1997
Adrian Paz,COL,M,25,24,11,1,4,7,0.48,1997
Tony Sanneh,DC,D,29,28,11,3,4,7,0.44,1997
Steve Ralston,TB,M,29,29,11,5,9,2,0.4,1997
Robert Warzycha,CLB,M,31,31,11,3,6,5,0.36,1997
Miles Joseph,MET,M,29,15,10,2,6,4,0.52,1997
Ronald Cerritos,SJ,F,22,22,10,2,3,7,0.49,1997
Lawrence Lozzano,SJ,M,29,23,10,3,4,6,0.43,1997
Antony De Avila,MET,F,23,21,9,2,8,1,0.42,1997
John Maessner,DC,M-D,32,20,9,1,5,4,0.4,1997
John Harkes,DC,M,25,23,9,3,5,4,0.39,1997
Cobi Jones,LA,M,26,25,9,2,6,3,0.36,1997
Maurice Johnston,KC,M-F,29,29,9,3,6,3,0.32,1997
Richie Williams,DC,M,30,29,9,0,3,6,0.31,1997
Roberto Donadoni,MET,M,32,31,9,3,7,2,0.3,1997
Brian Maisonneuve,CLB,M,32,30,9,2,6,3,0.3,1997
Jaime Moreno,DC,F,20,20,8,0,6,2,0.42,1997
Giuseppe Galderisi,NE,F,23,22,8,4,7,1,0.42,1997
Mark Chung,KC,M,32,32,8,3,4,4,0.25,1997
Damian,DAL,F,19,19,7,2,5,2,0.43,1997
Frank Klopas,KC,F,27,24,7,0,6,1,0.32,1997
Vitalis Takawira,KC,F,28,23,7,1,3,4,0.29,1997
Christopher Sullivan,SJ,M,24,8,6,0,4,2,0.53,1997
Brian McBride,CLB,F,13,13,6,2,2,4,0.51,1997
Gilmar,TB,M-F,16,16,6,0,3,3,0.45,1997
David Patino,COL,M-F,23,22,6,3,5,1,0.31,1997
Raul Diaz Arce,DC,F,22,20,6,2,4,2,0.3,1997
Frankie Hejduk,TB,D,23,22,6,1,3,3,0.28,1997
Chiquinho Conde,NE,F,25,25,6,1,6,0,0.25,1997
Dante Washington,DAL,F,30,25,6,2,2,4,0.25,1997
Jason Kreis,DAL,M,32,21,6,2,1,5,0.25,1997
Alberto Naveda,NE,F,29,28,6,0,4,2,0.23,1997
Martin Machon,LA,M,30,27,6,2,2,4,0.22,1997
Paul Bravo,COL,M,30,27,6,2,2,4,0.22,1997
Mark Santel,DAL,M,31,26,6,3,3,3,0.22,1997
Ben Iroha,DC,M,21,18,5,1,3,2,0.32,1997
Wolde Harris,COL,F,27,15,5,0,4,1,0.3,1997
Gerell Elliott,DAL,F,28,15,5,0,3,2,0.3,1997
Jorge Salcedo,CLB,M,28,26,5,2,3,2,0.2,1997
Chris Armas,LA,M,28,28,5,4,3,2,0.2,1997
Imad Baba,NE,M,29,28,5,1,3,2,0.19,1997
Kris Kelderman,DC,M,24,9,4,0,2,2,0.4,1997
Tab Ramos,MET,M,13,13,4,1,4,0,0.36,1997
John Kerr,NE,F,19,14,4,0,2,2,0.32,1997
Pete Marino,CLB,F,28,7,4,1,2,2,0.29,1997
Doctor Khumalo,CLB,M,18,18,4,1,2,2,0.27,1997
Brian Kelly,MET,M,21,14,4,2,1,3,0.27,1997
Shawn Medved,SJ,M,31,15,4,1,2,2,0.23,1997
Ted Eck,DAL,M-F,30,22,4,1,0,4,0.2,1997
Daniel Peinado,DAL,M,25,22,4,2,3,1,0.19,1997
Roy Wegerle,COL,F,31,23,4,0,3,1,0.19,1997
Dominic Kinnear,SJ,M,28,24,4,1,1,3,0.19,1997
Ivan McKinley,NE,D-M,26,21,4,3,3,1,0.18,1997
Giovanni Savarese,MET,F,29,23,4,1,2,2,0.17,1997
Peter Vermes,COL,D,26,25,4,0,1,3,0.16,1997
Ryan Tinsley,KC,D,31,29,4,0,2,2,0.14,1997
Jesse Marsch,DC,M,11,1,3,1,1,2,1.16,1997
Temoc Suarez,DAL,M,19,6,3,1,1,2,0.37,1997
Ross Paule,COL,M,19,7,3,0,2,1,0.31,1997
Alan Prampin,TB,F,24,12,3,2,2,1,0.22,1997
Welton,LA,F,29,12,3,0,1,2,0.2,1997
Istvan Urbanyi,SJ,M,23,19,3,0,2,1,0.17,1997
Paul Wright,KC,F,30,18,3,1,3,0,0.16,1997
Harut Karapetyan,LA,F,30,23,3,0,0,3,0.15,1997
Eduardo Hurtado,LA,F,22,21,3,0,1,2,0.15,1997
A.J. Wood,CLB,F,29,21,3,0,1,2,0.15,1997
Arnold Cruz,DC,D,25,23,3,0,2,1,0.13,1997
