ID,Club,POS,GP,GS,A,GWA,HmA,RdA,A.90min,Timestamp
Ian Russell,SJ,2,28,20,3,0,2,1,0.14,2000
David Vaudreuil,COL,2,28,28,3,0,1,2,0.11,2000
Jamie Clark,SJ,2,8,5,2,0,1,1,0.36,2000
Kevin Anderson,COL,3,21,9,2,0,1,1,0.2,2000
John Doyle,SJ,2,20,20,2,1,1,1,0.1,2000
Jimmy Conrad,SJ,2,26,25,2,0,2,0,0.08,2000
Steve Jolley,LA,2,28,27,2,0,1,1,0.07,2000
Greg Vanney,LA,2,27,27,2,2,1,1,0.07,2000
Chris Martinez,COL,2,30,30,2,0,2,0,0.07,2000
Ian Russell,SJ,2,26,26,9,4,4,5,0.37,2001
Marcelo Balboa,COL,2,24,22,6,0,1,5,0.25,2001
Wade Barrett,SJ,2,24,23,6,2,2,4,0.25,2001
Paul Caligiuri,LA,2,24,21,4,2,3,1,0.19,2001
Greg Vanney,LA,2,22,22,3,3,1,2,0.13,2001
Ezra Hendrickson,LA,2,23,23,3,0,2,1,0.13,2001
Alexi Lalas,LA,2,11,9,2,0,1,1,0.24,2001
Brian Mullan,LA,2,10,9,2,0,0,2,0.22,2001
Adam Frye,LA,2,22,9,2,0,1,1,0.17,2001
Robin Fraser,COL,2,20,19,2,0,1,1,0.11,2001
Jeff Agoos,SJ,2,20,20,2,0,1,1,0.1,2001
Ezra Hendrickson,LA,2,23,23,8,1,6,2,0.35,2002
Wade Barrett,SJ,2,28,28,6,3,5,1,0.21,2002
Tyrone Marshall,LA,2,24,19,5,1,2,3,0.24,2002
Alexi Lalas,LA,2,26,26,4,1,2,2,0.15,2002
Jeff Stewart,COL,2,23,20,3,2,3,0,0.16,2002
Jimmy Conrad,SJ,2,25,25,3,1,2,1,0.12,2002
Brian Mullan,LA,2,21,10,2,0,2,0,0.18,2002
Ian Russell,SJ,2,24,15,2,0,1,1,0.13,2002
Ritchie Kotschau,COL,2,23,19,2,1,2,0,0.1,2002
Wes Hart,COL,3,27,25,2,1,2,0,0.09,2002
Brian Mullan,SJ,2,30,30,9,2,2,7,0.3,2003
Todd Dunivant,SJ,2,30,30,6,1,3,3,0.19,2003
Ian Russell,SJ,2,18,16,5,2,2,3,0.34,2003
Chris Albright,LA,2,27,23,4,1,2,2,0.18,2003
Craig Waibel,SJ,2,24,22,2,0,0,2,0.09,2003
Danny Califf,LA,2,23,23,2,1,2,0,0.08,2003
Hong Myung Bo,LA,2,25,25,2,2,2,0,0.08,2003
Jeff Agoos,SJ,2,28,28,2,0,2,0,0.07,2003
Wes Hart,COL,3,29,29,2,0,1,1,0.07,2003
Brian Mullan,SJ,2,28,28,8,2,4,4,0.3,2004
Chris Albright,LA,2,24,24,6,1,2,4,0.26,2004
Antonio de la Torre,COL,2,28,28,5,3,4,1,0.19,2004
Jeff Agoos,SJ,2,24,24,4,0,3,1,0.17,2004
Ricky Lewis,COL,2,18,11,2,1,2,0,0.16,2004
Brian Mullan,SJ,2,25,23,6,3,3,3,0.27,2005
Eric Denton,COL,2,31,30,5,2,3,2,0.17,2005
Orlando Perez,CHV,2,27,24,3,0,1,2,0.13,2005
Chad Marshall,SEA,2,30,30,3,0,1,2,0.1,2005
Dedi Ben Dayan,COL,3,8,3,2,2,2,0,0.5,2005
Dan Gargan,COL,2,12,5,2,0,0,2,0.35,2005
Robert Scarlett,RSL,3,9,8,2,0,0,2,0.25,2005
Chris Albright,LA,2,22,21,2,1,2,0,0.1,2005
Tyrone Marshall,LA,2,25,25,2,0,2,0,0.09,2005
Ritchie Kotschau,COL,2,28,25,2,1,1,1,0.08,2005
Wade Barrett,SJ,2,30,30,2,2,0,2,0.07,2005
Todd Dunivant,LA,2,32,32,2,0,2,0,0.06,2005
Carey Talley,RSL,2,30,30,8,1,4,4,0.28,2006
Chris Albright,LA,2,23,23,5,1,3,2,0.22,2006
Jonathan Bornstein,CHV,2,32,32,4,2,2,2,0.13,2006
Dedi Ben Dayan,COL,3,16,12,2,0,1,1,0.19,2006
Todd Dunivant,LA,2,22,21,2,1,1,1,0.1,2006
Ezra Hendrickson,CHV,2,24,20,2,1,1,1,0.1,2006
Eric Denton,COL,2,22,22,2,1,1,1,0.1,2006
Alex Zotinca,CHV,2,22,20,3,1,2,1,0.16,2007
Chris Wingert,COL,2,22,16,2,0,0,2,0.11,2007
Lawson Vaughn,CHV,2,24,22,2,2,2,0,0.09,2007
Facundo Erpen,COL,2,26,25,2,0,2,0,0.09,2007
