ID,Club,POS,GP,GS,A,GWA,HmA,RdA,A.90min,Timestamp
Matt McKeon,KC,2,22,21,0,0,0,0,0,1998
Alexi Lalas,MET,2,25,25,0,0,0,0,0,1998
Brandon Pollard,DAL,2,29,26,0,0,0,0,0,1998
C.J. Brown,CHI,2,28,28,0,0,0,0,0,1998
Clint Peay,DC,2,5,2,1,1,0,1,0.37,1999
Chris Albright,DC,2,8,4,1,0,0,1,0.26,1999
Chris Houser,TB,2,9,5,1,0,0,1,0.17,1999
John DeBrito,CLB,2,8,8,1,1,1,0,0.14,1999
Brandon Prideaux,KC,2,15,8,1,0,0,1,0.1,1999
Mohammad Khakpour,MET,2,14,14,1,1,0,1,0.07,1999
Tom Soehn,CHI,2,23,14,1,0,1,0,0.07,1999
Carlos Llamosa,DC,2,17,17,1,0,1,0,0.06,1999
Thomas Dooley,CLB,2,25,19,1,0,0,1,0.05,1999
Mike Petke,MET,2,25,23,1,0,1,0,0.04,1999
Uche Okafor,KC,2,26,26,1,0,1,0,0.04,1999
Mario Gori,MIA,2,29,27,1,0,1,0,0.04,1999
Brian Dunseth,NE,2,29,25,1,1,0,1,0.04,1999
Jay Heaps,MIA,2,29,28,1,0,0,1,0.04,1999
Richard Farrer,DAL,2,30,29,1,0,0,1,0.03,1999
Chad McCarty,TB,2,30,30,1,0,0,1,0.03,1999
Alexi Lalas,KC,2,30,30,1,0,1,0,0.03,1999
Andrew Parrish,DAL,2,0,0,0,0,0,0,0,1999
John Rusek,MET,3,0,0,0,0,0,0,0,1999
Ray Goodlett,DC,2,0,0,0,0,0,0,0,1999
Michael Green,KC,2,0,0,0,0,0,0,0,1999
Evan Whitfield,CHI,2,0,0,0,0,0,0,0,1999
Curt Onalfo,DC,2,1,0,0,0,0,0,0,1999
Manny Motajo,NE,2,2,1,0,0,0,0,0,1999
Chaka Daley,NE,2,2,0,0,0,0,0,0,1999
Jeff Zaun,CHI,2,1,1,0,0,0,0,0,1999
Ubusuku Abukusumo,CLB,2,3,1,0,0,0,0,0,1999
Scott Uderitz,KC,2,2,2,0,0,0,0,0,1999
Tony Soto,KC,2,4,3,0,0,0,0,0,1999
Matt Chulis,CLB,2,4,3,0,0,0,0,0,1999
Jan Eriksson,TB,2,6,6,0,0,0,0,0,1999
Wade Webber,MIA,2,7,5,0,0,0,0,0,1999
Joseph Addo,TB,2,8,8,0,0,0,0,0,1999
Ryan Tinsley,CHI,2,13,7,0,0,0,0,0,1999
Kevin Knight,MET,2,11,8,0,0,0,0,0,1999
Richard Goulooze,NE,2,11,9,0,0,0,0,0,1999
Mike Duhaney,MET,2,19,13,0,0,0,0,0,1999
R.T. Moore,TB,2,17,12,0,0,0,0,0,1999
Vicente Figueroa,KC,2,22,14,0,0,0,0,0,1999
Jeremy Aldrich,MIA,2,18,14,0,0,0,0,0,1999
Arley Palacios,MET,2,17,16,0,0,0,0,0,1999
Eric Dade,DAL,2,24,19,0,0,0,0,0,1999
Eddie Pope,DC,2,19,18,0,0,0,0,0,1999
Sean Bowers,KC,2,25,20,0,0,0,0,0,1999
Dan Calichman,NE,2,25,25,0,0,0,0,0,1999
Mark Semioli,MET,2,24,24,0,0,0,0,0,1999
Francis Okaroh,CHI,2,26,26,0,0,0,0,0,1999
Micah Cooks,DC,3,5,2,1,0,1,0,0.55,2000
Vicente Figueroa,KC,2,8,3,1,0,1,0,0.28,2000
Eric Denton,DC,2,16,12,1,0,0,1,0.08,2000
Steve Shak,MET,2,23,14,1,0,0,1,0.06,2000
John DeBrito,CLB,2,20,17,1,0,1,0,0.06,2000
Dan Calichman,NE,2,20,20,1,1,0,1,0.05,2000
Ivan McKinley,MIA,3,23,22,1,0,0,1,0.05,2000
Mike Lapper,CLB,2,24,20,1,1,1,0,0.05,2000
Carlos Llamosa,DC,2,23,20,1,0,0,1,0.05,2000
Richard Farrer,DAL,2,28,20,1,0,1,0,0.04,2000
Carlos Bocanegra,CHI,2,27,27,1,0,1,0,0.04,2000
Mauricio Wright,NE,2,26,26,1,0,0,1,0.04,2000
Carey Talley,DC,2,29,28,1,0,0,1,0.04,2000
C.J. Brown,CHI,2,27,27,1,1,0,1,0.04,2000
Mike Petke,MET,2,30,29,1,0,1,0,0.03,2000
Steve Trittschuh,TB,2,32,32,1,1,0,1,0.03,2000
Joseph Addo,TB,2,32,32,1,0,1,0,0.03,2000
Clint Peay,DC,2,0,0,0,0,0,0,0,2000
Michael Green,KC,2,0,0,0,0,0,0,0,2000
Steve Bernal,DAL,2,0,0,0,0,0,0,0,2000
Ubusuku Abukusumo,TB,2,0,0,0,0,0,0,0,2000
Chris Houser,TB,2,3,0,0,0,0,0,0,2000
Tenywa Bonseu,CHI,2,2,1,0,0,0,0,0,2000
John Wilson,KC,2,3,1,0,0,0,0,0,2000
Dominic Schell,CLB,3,7,1,0,0,0,0,0,2000
Jeremy Aldrich,MIA,2,4,1,0,0,0,0,0,2000
Matt Chulis,CLB,2,6,2,0,0,0,0,0,2000
Chris Jahr,CHI,2,2,2,0,0,0,0,0,2000
Dahir Mohammed,MET,2,3,1,0,0,0,0,0,2000
Ray Goodlett,DC,2,4,3,0,0,0,0,0,2000
Miroslaw Rzepa,CLB,3,5,4,0,0,0,0,0,2000
Mohammad Khakpour,MET,2,5,5,0,0,0,0,0,2000
Uche Okafor,KC,2,14,2,0,0,0,0,0,2000
Orlando Perez,MET,2,15,4,0,0,0,0,0,2000
Tim Sahaydak,MIA,2,9,7,0,0,0,0,0,2000
Mark Semioli,MET,2,16,7,0,0,0,0,0,2000
Adam Eyre,NE,2,10,8,0,0,0,0,0,2000
Brandon Pollard,DAL,2,15,9,0,0,0,0,0,2000
Michael Green,KC,2,3,2,1,1,1,0,0.58,2001
Kevin Anderson,TB,3,10,6,1,1,0,1,0.2,2001
Brian Dunseth,MIA,2,18,10,1,1,0,1,0.08,2001
Jim Curtin,CHI,2,18,12,1,0,1,0,0.08,2001
Duncan Oughton,CLB,2,20,12,1,0,0,1,0.07,2001
Ted Chronopoulos,NE,2,16,15,1,0,1,0,0.07,2001
Chris Albright,DC,2,23,14,1,1,0,1,0.06,2001
Joseph Addo,TB,2,20,17,1,0,1,0,0.06,2001
Eric Dade,DAL,2,21,20,1,0,0,1,0.05,2001
Craig Demmin,TB,2,19,19,1,0,1,0,0.05,2001
C.J. Brown,CHI,2,22,22,1,0,0,1,0.05,2001
Brandon Prideaux,KC,2,23,22,1,1,1,0,0.04,2001
Mike Petke,MET,2,25,25,1,0,1,0,0.04,2001
Mike Clark,CLB,2,25,25,1,0,1,0,0.04,2001
Jeff Rigby,MET,2,0,0,0,0,0,0,0,2001
Jeremy Aldrich,CHI,2,0,0,0,0,0,0,0,2001
Ray Goodlett,DC,2,0,0,0,0,0,0,0,2001
Stephen Danbusky,NE,2,0,0,0,0,0,0,0,2001
Fred DeGand,DC,2,0,0,0,0,0,0,0,2001
Steve Bernal,CHI,2,0,0,0,0,0,0,0,2001
Don Gramenz,TB,2,1,0,0,0,0,0,0,2001
